Species,Species_Syn,Protected,Endemic,Migratory,End_Islands,Notes
Cecropis daurica,NA,NA,NA,Y,NA,NA
Celebesica abbotti,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22706532/94075363
Centropus celebensis,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22684303/93024173
Centropus chalybeus,NA,NA,Y,NA,PAPUA (PULAU BIAK),https://www.iucnredlist.org/species/22684219/93019214
Centropus goliath,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22684195/93017963
Centropus nigrorufus,NA,Y,Y,NA,JAWA,"Centropus nigrorufus is endemic to Indonesia, where it occurs on Java, and possibly Sumatra (from where there is one specimen of doubtful origin and recent unconfirmed sight records) (BirdLife International 2001). It is now scarce or rare, sparsely distributed, although it may be under-recorded. It can still be found in suitable habitat at scattered sites along the north Java coast, and an isolated population remains at Muara Angke (N. Brickle in litt. 2007, 2012), which is completely surrounded by Jakarta. The species is occasionally recorded on sale in bird markets and displayed in zoos, but records in the wild are now few."
Centropus rectunguis,NA,Y,NA,NA,NA,"Centropus rectunguis occurs from extreme southern Thailand, through Peninsular Malaysia to Malaysian Borneo (Sabah and Sarawak), Brunei and Indonesia (Kalimantan and Sumatra) (BirdLife International 2001). It appears to be rare in Thailand and Sumatra, but apparently locally fairly common in Peninsular Malaysia and Borneo. In Sabah, Borneo the species was found at similar abundance in unlogged and in once- or twice-logged forest (Edwards et al. 2010)."
Centropus spilopterus,NA,NA,Y,NA,MALUKU (PULAU KEI),https://www.iucnredlist.org/species/22684212/93018899
Ceratolobus glaucescens,NA,Y,NA,NA,NA,NA
Cethosia myrina,NA,Y,NA,NA,NA,NA
Ceyx cajeli,NA,NA,Y,NA,MALUKU (PULAU BURU),https://www.iucnredlist.org/species/22726607/215997335
Ceyx erithaca,NA,NA,NA,Y,NA,NA
Ceyx fallax,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/45355839/185673753
Ceyx lepidus,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22726591/94926707
Ceyx sangirensis,NA,Y,Y,NA,SULAWESI (PULAU SANGIHE),https://www.iucnredlist.org/species/45355856/134198542
Ceyx wallacii,NA,NA,Y,NA,MALUKU (PULAU TALIABU),https://www.iucnredlist.org/species/61659795/177078310
Chalcites basalis,NA,NA,NA,Y,NA,NA
Chalcites crassirostris,NA,NA,NA,Y,NA,NA
Chalcites lucidus,NA,NA,NA,Y,NA,NA
Chalcites minutillus,NA,NA,NA,Y,NA,NA
Chalcopsitta atra,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22684488/93032251
Chalcopsitta duivenbodei,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22684491/130098893#habitat-ecology
Chalcopsitta scintillata,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22684494/93032610
Charadrius alexandrinus,NA,Y,NA,Y,NA,NA
Charadrius dealbatus,NA,NA,NA,Y,NA,NA
Charadrius dubius,NA,NA,NA,Y,NA,NA
Charadrius javanicus,NA,Y,NA,NA,NA,NA
Charadrius leschenaultii,NA,NA,NA,Y,NA,NA
Charadrius mongolus,NA,NA,NA,Y,NA,NA
Charadrius placidus,NA,Y,NA,Y,NA,NA
Charadrius ruficapillus,NA,Y,NA,NA,NA,NA
Charadrius veredus,NA,Y,NA,Y,NA,NA
Charmosyna josefinae,NA,Y,NA,NA,NA,NA
Charmosyna multistriata,NA,Y,NA,NA,NA,NA
Charmosyna papou,NA,Y,Y,NA,PAPUA BARAT,https://www.iucnredlist.org/species/22725340/94890781
Charmosyna placentis,NA,Y,NA,NA,NA,NA
Charmosyna pulchella,NA,Y,NA,NA,NA,NA
Charmosyna rubronotata,NA,Y,NA,NA,NA,NA
Charmosyna stellae,NA,Y,NA,NA,NA,NA
Charmosyna toxopei,NA,Y,Y,NA,MALUKU (PULAU BURU),https://www.iucnredlist.org/species/22684671/117323495
Charmosyna wilhelminae,NA,Y,NA,NA,NA,NA
Charonia tritonis,NA,Y,NA,NA,NA,NA
Chelodina mccordii,NA,Y,NA,NA,NA,NA
Chelodina novaeguineae,NA,Y,NA,NA,NA,NA
Chelonia mydas,NA,Y,NA,NA,Y,NA
Chitala borneensis,NA,Y,NA,NA,NA,NA
Chitala hypselonotus,NA,Y,NA,NA,NA,NA
Chitala lopis,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/157719927/89815479#habitat-ecology
Chitra chitra,NA,Y,NA,NA,NA,NA
Chlamydera cerviniventris,NA,Y,NA,NA,NA,NA
Chlamydera lauterbachi,NA,Y,NA,NA,NA,NA
Chlamydosaurus kingii,NA,Y,NA,NA,NA,NA
Chlidonias hybrida,NA,Y,NA,Y,NA,NA
Chlidonias leucopterus,NA,Y,NA,Y,NA,NA
Chloropsis cochinchinensis,NA,Y,Y,NA,NA,https://www.iucnredlist.org/species/103775551/183128416
Chloropsis cyanopogon,NA,Y,NA,NA,NA,NA
Chloropsis kinabaluensis,NA,Y,NA,NA,NA,NA
Chloropsis media,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22732267/156989848
Chloropsis moluccensis,NA,Y,NA,NA,NA,NA
Chloropsis sonnerati,NA,Y,NA,NA,NA,NA
Chloropsis venusta,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22704969/131660711
Chrysococcyx maculatus,NA,NA,NA,Y,NA,NA
Chrysococcyx xanthorhynchus,NA,NA,NA,Y,NA,NA
Chrysocolaptes strictus,NA,NA,Y,NA,JAWA & BALI,https://www.iucnredlist.org/species/22726560/94925352
Chrysocorythus estherae,NA,Y,Y,NA,"SUMATERA, JAWA & SULAWESI",https://www.iucnredlist.org/species/103764840/94664329
