Species,Protected,Endemic,Migratory
Microhierax latifrons,Y,,
Micropsitta bruijnii,Y,,Y
Micropsitta geelvinkiana,Y,Y,
Micropsitta keiensis,Y,,
Micropsitta pusio,Y,,
Milvus migrans,Y,,Y
Mixornis flavicollis,,Y,
Mixornis prillwitzi,,Y,
Monarcha frater,,,Y
Monarcha melanopsis,,,Y
Monticola solitarius,,,Y
Morelia viridis,Y,,
Motacilla cinerea,,,Y
Motacilla tschutschensis,,,Y
Mulleripicus fulvus,Y,Y,
Mulleripicus pulverulentus,Y,,
Muntiacus atherodes,Y,,
Muntiacus muntjak,Y,,
Muscicapa dauurica,,,Y
Muscicapa ferruginea,,,Y
Muscicapa griseisticta,,,Y
Muscicapa segregata,,Y,
Muscicapa sibirica,,,Y
Muscicapa sodhii,Y,,
Mycteria cinerea,Y,,Y
Myiagra cyanoleuca,,,Y
Myiagra rubecula,,,Y
Myiomela diana,,Y,
Myophonus castaneus,,Y,
Myophonus glaucinus,,Y,
Myophonus melanurus,,Y,
Myza celebensis,,Y,
Myza sarasinorum,,Y,
Myzomela batjanensis,,Y,
Myzomela blasii,,Y,
Myzomela boiei,,Y,
Myzomela chloroptera,,Y,
Myzomela kuehni,,Y,
Myzomela rubrobrunnea,,Y,
Myzomela rubrotincta,,Y,
Myzomela simplex,,Y,
Myzomela wakoloensis,,Y,
Napothera albostriata,,Y,
Nasalis larvatus,Y,,
Natator depressus,Y,,
"Nautilus pompilius Linne, 1758",Y,,
Neofelis diardi,Y,,
Neolissochilus thienemanni,Y,,
Neophocaena phocaenoides,Y,,
Neopsittacus musschenbroeki,Y,,
Neopsittacus pullicauda,Y,,
Neopteryx frosti,Y,,
Nepenthes adnata,Y,,
Nepenthes adrianii,Y,,
Nepenthes albomarginata,Y,,
Nepenthes aristolochioides,Y,,
Nepenthes bicalcarata,Y,,
Nepenthes bongso,Y,,
Nepenthes boschiana,Y,,
Nepenthes campanulata,Y,,
Nepenthes clipeata,Y,,
Nepenthes danseri,Y,,
Nepenthes densiflora,Y,,
Nepenthes diatas,Y,,
Nepenthes dubia,Y,,
Nepenthes ephippiata,Y,,
Nepenthes epiphytica,Y,,
Nepenthes eustachya,Y,,
Nepenthes eymae,Y,,
Nepenthes fusca,Y,,
Nepenthes glabrata,Y,,
Nepenthes gymnamphora,Y,,
Nepenthes hamata,Y,,
Nepenthes hirsuta,Y,,
Nepenthes hispida,Y,,
Nepenthes inermis,Y,,
Nepenthes insignis,Y,,
Nepenthes izumiae,Y,,
Nepenthes jacquelineae,Y,,
Nepenthes jamban,Y,,
Nepenthes klossii,Y,,
Nepenthes lamii,Y,,
Nepenthes lavicola,Y,,
Nepenthes lingulata,Y,,
Nepenthes lowii,Y,,
Nepenthes mapuluensis,Y,,
Nepenthes maxima,Y,,
Nepenthes mikei,Y,,
Nepenthes mollis,Y,,
Nepenthes naga,Y,,
Nepenthes neoguineensis,Y,,
Nepenthes nigra,Y,,
Nepenthes ovata,Y,,
Nepenthes paniculata,Y,,
Nepenthes papuana,Y,,
Nepenthes pectinata,Y,,
Nepenthes pilosa,Y,,
Nepenthes pitopangii,Y,,
Nepenthes rhombicaulis,Y,,
Nepenthes rigidifolia,Y,,
Nepenthes singalana,Y,,
Nepenthes spathulata,Y,,
Nepenthes spectabilis,Y,,
Nepenthes stenophylla,Y,,
Nepenthes sumatrana,Y,,
Nepenthes tentaculata,Y,,
Nepenthes tobaica,Y,,
Nepenthes tomoriana,Y,,
Nepenthes treubiana,Y,,
Nepenthes undulatifolia,Y,,
Nepenthes veitchii,Y,,
Nesolagus netscheri,Y,,
Nettapus coromandelianus,Y,,Y
Ninox burhani,Y,Y,
Ninox forbesi,,Y,
Ninox hantu,,Y,
Ninox ios,Y,Y,
Ninox japonica,,,Y
Ninox ochracea,,Y,
Ninox punctulata,,Y,
Ninox rudolfi,,Y,
Ninox squamipila,,Y,
Ninox sumbaensis,,Y,
Nisaetus alboniger,Y,,
Nisaetus bartelsi,Y,Y,
Nisaetus cirrhatus,Y,,
Nisaetus floris,Y,Y,
Nisaetus lanceolatus,Y,Y,
Nisaetus nanus,Y,,
Notopterus notopterus,Y,,
Numenius arquata,Y,,Y
Numenius madagascariensis,Y,,Y
Numenius minutus,Y,,Y
Numenius phaeopus,Y,,Y
Nycticebus coucang,Y,,
Nycticebus javanicus,Y,,
Nycticebus menagensis,Y,,
Nycticorax caledonicus,Y,,Y
Nycticorax nycticorax,,,Y
Oceanites oceanicus,Y,,Y
Onychoprion aleuticus,Y,,Y
Onychoprion anaethetus,Y,,Y
Onychoprion fuscatus,Y,,Y
Onychoprion lunatus,Y,,
Orcaella brevirostris,Y,,
Orcinus orca,Y,,
Oreopsittacus arfaki,Y,,
Oreornis chrysogenys,,Y,
Oriolus bouroensis,,Y,
Oriolus chinensis,,,Y
Oriolus cruentus,,Y,
Oriolus decipiens,,Y,
Oriolus forsteni,,Y,
Oriolus sagittatus,,,Y
Orlitia borneensis,Y,,
Ornithoptera aesacus,Y,,
Ornithoptera chimaera,Y,,
Ornithoptera croesus,Y,,
Ornithoptera goliath,Y,,
Ornithoptera meridionalis,Y,,
Ornithoptera paradisea,Y,,
Ornithoptera priamus,Y,,
Ornithoptera rothschildi,Y,,
Ornithoptera tithonus,Y,,
Orthotomus sepium,,Y,
Otidiphaps aruensis,,Y,
