,Species,Species_Syn,Protected,Endemic,Migratory,End_Islands,Notes
690,Megapodius forstenii,NA,Y,NA,NA,NA,NA
691,Megapodius freycinet,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22678602/196317346
692,Megapodius geelvinkianus,NA,Y,Y,NA,PAPUA (PULAU BIAK),https://www.iucnredlist.org/species/22728514/216249241
693,Megapodius reinwardt,NA,Y,NA,NA,NA,NA
694,Megapodius tenimberensis,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22732420/156285707
695,Megaptera novaeangliae,NA,Y,NA,NA,NA,NA
696,Megatriorchis doriae,NA,Y,NA,NA,NA,NA
697,Meiglyptes tristis,NA,NA,Y,NA,JAWA (BARAT),https://www.iucnredlist.org/species/22727198/94943337
698,Melipotes carolae,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22735330/112509714
699,Melipotes fumigatus,NA,Y,NA,NA,NA,NA
700,Melipotes gymnops,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22704295/130261184
701,Meropogon forsteni,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22683667/130085350
702,Merops leschenaulti,NA,NA,NA,Y,NA,NA
703,Merops ornatus,NA,NA,NA,Y,NA,NA
704,Merops philippinus,NA,NA,NA,Y,NA,NA
705,Merops viridis,NA,NA,NA,Y,NA,NA
706,Mesoplodon densirostris,NA,Y,NA,NA,NA,NA
707,Mesoplodon ginkgodens,NA,Y,NA,NA,NA,NA
708,Microeca hemixantha,NA,NA,Y,NA,MALUKU (PULAU JAMDENA),"Microeca hemixantha is restricted to the Banda Sea Islands Endemic Bird Area, Indonesia, where it occurs in the Tanimbar Islands (Yamdena, Loetoe and Larat) (BirdLife International 2001). It apparently remains common within its small range."
709,Microhierax fringillarius,NA,Y,NA,NA,NA,NA
710,Microhierax latifrons,NA,Y,NA,NA,NA,NA
711,Micropsitta bruijnii,NA,Y,NA,Y,NA,NA
712,Micropsitta geelvinkiana,NA,Y,Y,NA,PAPUA (PULAU BIAK),https://www.iucnredlist.org/species/22684850/210917066
713,Micropsitta keiensis,NA,Y,NA,NA,NA,NA
714,Micropsitta pusio,NA,Y,NA,NA,NA,NA
715,Milvus migrans,NA,Y,NA,Y,NA,NA
716,Mixornis flavicollis,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/103894706/113204492
717,Mixornis prillwitzi,NA,NA,Y,NA,JAWA (PULAU KANGEAN),"Mixornis prillwitzi occurs on the Kangean Islands, Indonesia, and is found in lowland forest and secondary growth habitats (Collar and Robson 2016). Extensive deforestation within its range has greatly reduced the amount of available habitat, and deforestation continues."
718,Monarcha frater,NA,NA,NA,Y,NA,NA
719,Monarcha melanopsis,NA,NA,NA,Y,NA,NA
720,Monticola solitarius,NA,NA,NA,Y,NA,NA
721,Morelia viridis,NA,Y,NA,NA,NA,NA
722,Motacilla cinerea,NA,NA,NA,Y,NA,NA
723,Motacilla tschutschensis,NA,NA,NA,Y,NA,NA
724,Mulleripicus fulvus,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22681575/130042987
725,Mulleripicus pulverulentus,NA,Y,NA,NA,NA,NA
726,Muntiacus atherodes,NA,Y,NA,NA,NA,NA
727,Muntiacus muntjak,NA,Y,NA,NA,NA,NA
728,Muscicapa dauurica,NA,NA,NA,Y,NA,NA
729,Muscicapa ferruginea,NA,NA,NA,Y,NA,NA
730,Muscicapa griseisticta,NA,NA,NA,Y,NA,NA
731,Muscicapa segregata,NA,NA,Y,NA,NUSA TENGGARA (PULAU SUMBA),"Muscicapa segregata (split from Asian Brown Flycatcher M. dauurica) is restricted to Sumba, Indonesia. Previously thought to be rather scarce and local, a more recent assessment considered it uncommon and sparse, perhaps rare, although quiet and unobtrusive. The most recent observations confirm that it is widespread in remaining patches of both primary and secondary forest, albeit declining with steady habitat clearance."
732,Muscicapa sibirica,NA,NA,NA,Y,NA,NA
733,Muscicapa sodhii,NA,Y,NA,NA,NA,NA
734,Mycteria cinerea,NA,Y,NA,Y,NA,NA
735,Myiagra cyanoleuca,NA,NA,NA,Y,NA,NA
736,Myiagra rubecula,NA,NA,NA,Y,NA,NA
737,Myiomela diana,NA,NA,Y,NA,SUMATERA & JAWA,https://www.iucnredlist.org/species/22710114/132085301
738,Myophonus castaneus,NA,NA,Y,NA,SUMATERA,"Myophonus castaneus is endemic to the island of Sumatra in Indonesia where it occurs in the foothills and mountains. It was recently split from Bornean Whistling-thrush M. glaucinus and Javan Whistling-thrush M. borneensis, formerly all lumped under Sunda Whistling-thrush M. glaucinus. The two other species are the only Myophonus endemic to their respective islands and are both widespread. M. castaneus, however, is scarce on Sumatra, apparently occupying a narrower niche, possibly owing to competition with Shiny Whistling-thrush M. melanurus. It is thought to be declining owing to habitat loss, as deforestation is widespread and continuing on Sumatra."
739,Myophonus glaucinus,NA,NA,Y,NA,JAWA & BALI,https://www.iucnredlist.org/species/22733656/95061303
740,Myophonus melanurus,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22708303/94155997
741,Myza celebensis,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22704307/130261779
742,Myza sarasinorum,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22704310/130262103
743,Myzomela batjanensis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/103686945/132048692
744,Myzomela blasii,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22703810/130344854
745,Myzomela boiei,NA,NA,Y,NA,MALUKU (PULAU JAMDENA),https://www.iucnredlist.org/species/22703855/130346697
746,Myzomela chloroptera,NA,NA,Y,NA,SULAWESI & MALUKU,https://www.iucnredlist.org/species/103686853/118657478
747,Myzomela kuehni,NA,NA,Y,NA,LESSER SUNDA Is.,https://www.iucnredlist.org/species/22703838/217894278
748,Myzomela rubrobrunnea,NA,NA,Y,NA,PAPUA (PULAU BIAK),https://www.iucnredlist.org/species/103686589/131891778
749,Myzomela rubrotincta,NA,NA,Y,NA,MALUKU (PULAU OBI),https://www.iucnredlist.org/species/103686620/132191079
750,Myzomela simplex,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/103686603/132190882
751,Myzomela wakoloensis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22703852/130346463
752,Napothera albostriata,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22734523/132182812
753,Nasalis larvatus,NA,Y,NA,NA,NA,NA
754,Natator depressus,NA,Y,NA,NA,NA,NA
755,"Nautilus pompilius Linne, 1758",NA,Y,NA,NA,NA,NA
756,Neofelis diardi,NA,Y,NA,NA,NA,NA
757,Neolissochilus thienemanni,NA,Y,NA,NA,NA,NA
758,Neophocaena phocaenoides,NA,Y,NA,NA,NA,NA
759,Neopsittacus musschenbroeki,NA,Y,NA,NA,NA,NA
760,Neopsittacus pullicauda,NA,Y,NA,NA,NA,NA
761,Neopteryx frosti,NA,Y,NA,NA,NA,NA
762,Nepenthes adnata,NA,Y,NA,NA,NA,NA
763,Nepenthes adrianii,NA,Y,NA,NA,NA,NA
764,Nepenthes albomarginata,NA,Y,NA,NA,NA,NA
765,Nepenthes aristolochioides,NA,Y,NA,NA,NA,NA
766,Nepenthes bicalcarata,NA,Y,NA,NA,NA,NA
767,Nepenthes bongso,NA,Y,NA,NA,NA,NA
768,Nepenthes boschiana,NA,Y,NA,NA,NA,NA
769,Nepenthes campanulata,NA,Y,NA,NA,NA,NA
770,Nepenthes clipeata,NA,Y,NA,NA,NA,NA
771,Nepenthes danseri,NA,Y,NA,NA,NA,NA
772,Nepenthes densiflora,NA,Y,NA,NA,NA,NA
773,Nepenthes diatas,NA,Y,NA,NA,NA,NA
774,Nepenthes dubia,NA,Y,NA,NA,NA,NA
775,Nepenthes ephippiata,NA,Y,NA,NA,NA,NA
776,Nepenthes epiphytica,NA,Y,NA,NA,NA,NA
777,Nepenthes eustachya,NA,Y,NA,NA,NA,NA
778,Nepenthes eymae,NA,Y,NA,NA,NA,NA
779,Nepenthes fusca,NA,Y,NA,NA,NA,NA
780,Nepenthes glabrata,NA,Y,NA,NA,NA,NA
781,Nepenthes gymnamphora,NA,Y,NA,NA,NA,NA
782,Nepenthes hamata,NA,Y,NA,NA,NA,NA
783,Nepenthes hirsuta,NA,Y,NA,NA,NA,NA
784,Nepenthes hispida,NA,Y,NA,NA,NA,NA
785,Nepenthes inermis,NA,Y,NA,NA,NA,NA
786,Nepenthes insignis,NA,Y,NA,NA,NA,NA
787,Nepenthes izumiae,NA,Y,NA,NA,NA,NA
788,Nepenthes jacquelineae,NA,Y,NA,NA,NA,NA
789,Nepenthes jamban,NA,Y,NA,NA,NA,NA
790,Nepenthes klossii,NA,Y,NA,NA,NA,NA
791,Nepenthes lamii,NA,Y,NA,NA,NA,NA
792,Nepenthes lavicola,NA,Y,NA,NA,NA,NA
793,Nepenthes lingulata,NA,Y,NA,NA,NA,NA
794,Nepenthes lowii,NA,Y,NA,NA,NA,NA
795,Nepenthes mapuluensis,NA,Y,NA,NA,NA,NA
796,Nepenthes maxima,NA,Y,NA,NA,NA,NA
797,Nepenthes mikei,NA,Y,NA,NA,NA,NA
798,Nepenthes mollis,NA,Y,NA,NA,NA,NA
799,Nepenthes naga,NA,Y,NA,NA,NA,NA
800,Nepenthes neoguineensis,NA,Y,NA,NA,NA,NA
801,Nepenthes nigra,NA,Y,NA,NA,NA,NA
802,Nepenthes ovata,NA,Y,NA,NA,NA,NA
803,Nepenthes paniculata,NA,Y,NA,NA,NA,NA
804,Nepenthes papuana,NA,Y,NA,NA,NA,NA
805,Nepenthes pectinata,NA,Y,NA,NA,NA,NA
806,Nepenthes pilosa,NA,Y,NA,NA,NA,NA
807,Nepenthes pitopangii,NA,Y,NA,NA,NA,NA
808,Nepenthes rhombicaulis,NA,Y,NA,NA,NA,NA
809,Nepenthes rigidifolia,NA,Y,NA,NA,NA,NA
810,Nepenthes singalana,NA,Y,NA,NA,NA,NA
811,Nepenthes spathulata,NA,Y,NA,NA,NA,NA
812,Nepenthes spectabilis,NA,Y,NA,NA,NA,NA
813,Nepenthes stenophylla,NA,Y,NA,NA,NA,NA
814,Nepenthes sumatrana,NA,Y,NA,NA,NA,NA
815,Nepenthes tentaculata,NA,Y,NA,NA,NA,NA
816,Nepenthes tobaica,NA,Y,NA,NA,NA,NA
817,Nepenthes tomoriana,NA,Y,NA,NA,NA,NA
818,Nepenthes treubiana,NA,Y,NA,NA,NA,NA
819,Nepenthes undulatifolia,NA,Y,NA,NA,NA,NA
820,Nepenthes veitchii,NA,Y,NA,NA,NA,NA
821,Nesolagus netscheri,NA,Y,NA,NA,NA,NA
822,Nettapus coromandelianus,NA,Y,NA,Y,NA,NA
823,Ninox burhani,NA,Y,Y,NA,"SULAWESI  (PULAU TOGEAN, BATUDAKA)","Ninox burhani has a very small range, being only known from the islands of Malenge, Togian and Batudaka in the Togian archipelago off central Sulawesi, Indonesia (Verbelen and Demeulemeester 2010). Aural encounters believed to relate to this species on Waleabahi Island to the east imply it is widespread in moderate numbers throughout the archipelago. It may be declining but current trends have not yet been studied."
824,Ninox forbesi,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22727916/94965660
825,Ninox hantu,NA,NA,Y,NA,MALUKU (PULAU BURU),https://www.iucnredlist.org/species/22727909/94965479
826,Ninox ios,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22728610/207662764
827,Ninox japonica,NA,NA,NA,Y,NA,NA
828,Ninox ochracea,NA,NA,Y,NA,SULAWESI,"Ninox ochracea is restricted to Sulawesi (but not the south peninsula), Indonesia, where it is generally uncommon (BirdLife International 2001)."
829,Ninox punctulata,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22689470/93231515
830,Ninox rudolfi,NA,NA,Y,NA,NUSA TENGGARA (PULAU SUMBA),https://www.iucnredlist.org/species/22689398/93229974
831,Ninox squamipila,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22727893/94965117
832,Ninox sumbaensis,NA,NA,Y,NA,NUSA TENGGARA (PULAU SUMBA),https://www.iucnredlist.org/species/22730062/118629788
833,Nisaetus alboniger,NA,Y,NA,NA,NA,NA
834,Nisaetus bartelsi,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22696165/110050373
835,Nisaetus cirrhatus,NA,Y,NA,NA,NA,NA
836,Nisaetus floris,NA,Y,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22732096/125448523
837,Nisaetus lanceolatus,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22696172/93547970
838,Nisaetus nanus,NA,Y,NA,NA,NA,NA
839,Notopterus notopterus,NA,Y,NA,NA,NA,NA
840,Numenius arquata,NA,Y,NA,Y,NA,NA
841,Numenius madagascariensis,NA,Y,NA,Y,NA,NA
842,Numenius minutus,NA,Y,NA,Y,NA,NA
843,Numenius phaeopus,NA,Y,NA,Y,NA,NA
844,Nycticebus coucang,NA,Y,NA,NA,NA,NA
845,Nycticebus javanicus,NA,Y,NA,NA,NA,NA
846,Nycticebus menagensis,NA,Y,NA,NA,NA,NA
847,Nycticorax caledonicus,NA,Y,NA,Y,NA,NA
848,Nycticorax nycticorax,NA,NA,NA,Y,NA,NA
849,Oceanites oceanicus,NA,Y,NA,Y,NA,NA
850,Onychoprion aleuticus,NA,Y,NA,Y,NA,NA
851,Onychoprion anaethetus,NA,Y,NA,Y,NA,NA
852,Onychoprion fuscatus,NA,Y,NA,Y,NA,NA
853,Onychoprion lunatus,NA,Y,NA,NA,NA,NA
854,Orcaella brevirostris,NA,Y,NA,NA,NA,NA
855,Orcinus orca,NA,Y,NA,NA,NA,NA
856,Oreopsittacus arfaki,NA,Y,NA,NA,NA,NA
857,Oreornis chrysogenys,NA,NA,Y,NA,PAPUA,https://www.iucnredlist.org/species/22704122/130254377
858,Oriolus bouroensis,NA,NA,Y,NA,MALUKU (PULAU BURU),https://www.iucnredlist.org/species/103691647/112513763
859,Oriolus chinensis,NA,NA,NA,Y,NA,NA
860,Oriolus cruentus,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/103692619/178843559
861,Oriolus decipiens,NA,NA,Y,NA,MALUKU (PULAU JAMDENA),https://www.iucnredlist.org/species/103691651/112513530
862,Oriolus forsteni,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22706353/130374545
863,Oriolus sagittatus,NA,NA,NA,Y,NA,NA
864,Orlitia borneensis,NA,Y,NA,NA,NA,NA
865,Ornithoptera aesacus,NA,Y,NA,NA,NA,NA
866,Ornithoptera chimaera,NA,Y,NA,NA,NA,NA
867,Ornithoptera croesus,NA,Y,NA,NA,NA,NA
868,Ornithoptera goliath,NA,Y,NA,NA,NA,NA
869,Ornithoptera meridionalis,NA,Y,NA,NA,NA,NA
870,Ornithoptera paradisea,NA,Y,NA,NA,NA,NA
871,Ornithoptera priamus,NA,Y,NA,NA,NA,NA
872,Ornithoptera rothschildi,NA,Y,NA,NA,NA,NA
873,Ornithoptera tithonus,NA,Y,NA,NA,NA,NA
874,Orthotomus sepium,NA,NA,Y,NA,"JAWA, BALI, LOMBOK",https://www.iucnredlist.org/species/22715003/118736748
875,Otidiphaps aruensis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22728031/94968761
876,Otus alfredi,NA,Y,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22724396/94864662
877,Otus angelinae,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22688591/93201974
878,Otus beccarii,NA,Y,Y,NA,PAPUA (PULAU BIAK),https://www.iucnredlist.org/species/22724754/94877921
879,Otus brookii,NA,Y,NA,NA,NA,NA
880,Otus collari,NA,Y,Y,NA,SULAWESI (KEPULAUAN SANGIHE),https://www.iucnredlist.org/species/22732046/95041318
881,Otus enganensis,NA,Y,Y,NA,SUMATERA (PULAU ENGGANO),https://www.iucnredlist.org/species/22724390/94864442
882,Otus jolandae,NA,Y,NA,NA,NA,NA
883,Otus manadensis,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/219587216/219587361
884,Otus mendeni,NA,Y,Y,NA,SULAWESI (PULAU PELENG),https://www.iucnredlist.org/species/62290488/110041533
885,Otus mentawi,NA,Y,Y,NA,"SUMATERA (PULAU SIBERUT, SIPURA, PAGAI)",https://www.iucnredlist.org/species/22688713/93206881
886,Otus siaoensis,NA,Y,Y,NA,SULAWESI(PULAU SIAU),https://www.iucnredlist.org/species/22728599/134199532
887,Otus silvicola,NA,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22688734/93207390
888,Otus sulaensis,NA,NA,Y,NA,MALUKU,"Otus sulaensis is endemic to the Sula Islands, including Taliabu,  Scho, Mongole and Sanana, Indonesia (Anig and  Weick 2008), where it is described as common and frequently  encountered (Davidson et al. 1995, Stones et al. 1997, Rheindt 2010)."
889,Otus sunia,NA,NA,NA,Y,NA,NA
890,Otus tempestatis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/45400982/95147409
891,Otus umbra,NA,Y,Y,NA,SUMATERA (...),https://www.iucnredlist.org/species/22688586/93201773
892,Pachycephala griseonota,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22705525/118688786
893,Pachycephala mentalis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/103693456/118690723
894,Pachycephala meyeri,NA,NA,Y,NA,PAPUA,https://www.iucnredlist.org/species/22705473/94020457
895,Pachycephala nudigula,NA,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22705516/94022348
896,Pachycephala par,NA,NA,Y,NA,NA,TIDAK ADA DI IUCN TAPI ADA DI FILE
897,Pachycephala phaionota,NA,NA,Y,NA,PAPUA BARAT & MALUKU,https://www.iucnredlist.org/species/22705449/118687241
898,Pachycephala sulfuriventer,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22705466/94020147
899,Pachycephala teysmanni,NA,NA,Y,NA,SULAWESI (PULAU SELAYAR),https://www.iucnredlist.org/species/103693387/112516385
900,Pachyptila desolata,NA,Y,NA,NA,NA,NA
901,Pandion haliaetus,NA,Y,NA,Y,NA,NA
902,Panthera pardus melas,NA,Y,NA,NA,NA,NA
903,Panthera tigris sumatrae,NA,Y,Y,NA,NA,NA
904,Panthera tigris,NA,Y,Y,NA,NA,NA
905,Papasula abbotti,NA,Y,NA,Y,NA,NA
906,Paphiopedilum gigantifolium,NA,Y,NA,NA,NA,NA
907,Paphiopedilum glanduliferum,NA,Y,NA,NA,NA,NA
908,Paphiopedilum glaucophyllum,NA,Y,NA,NA,NA,NA
909,Paphiopedilum kolopakingii,NA,Y,NA,NA,NA,NA
910,Paphiopedilum liemianum,NA,Y,NA,NA,NA,NA
911,Paphiopedilum mastersianum,NA,Y,NA,NA,NA,NA
912,Paphiopedilum nataschae,NA,Y,NA,NA,NA,NA
913,Paphiopedilum primulinum,NA,Y,NA,NA,NA,NA
914,Paphiopedilum robinsonianum,NA,Y,NA,NA,NA,NA
915,Paphiopedilum sangii,NA,Y,NA,NA,NA,NA
916,Paphiopedilum supardii,NA,Y,NA,NA,NA,NA
917,Paphiopedilum victoria-mariae,NA,Y,NA,NA,NA,NA
918,Paphiopedilum victoria-regina,NA,Y,NA,NA,NA,NA
919,Paphiopedilum violacens,NA,Y,NA,NA,NA,NA
920,Paphiopedilum wilhelminae,NA,Y,NA,NA,NA,NA
921,Paradigalla brevicauda,NA,Y,NA,NA,NA,NA
922,Paradigalla carunculata,NA,Y,Y,NA,PAPUA,"Paradigalla carunculata is endemic to the Arfak Mountains in the Vogelkop peninsula of Papua (formerly Irian Jaya), Indonesia, where there are few records but it is probably not uncommon (Gibbs 1993, Poulsen and Frolander 1994, Frith and Beehler 1998). An undescribed Paradigalla taxon discovered in the nearby Fakfak Mountains, and possibly occurring on other mountain ranges in the Vogelkop, may be this species, although it shows some features of Short-tailed Paradigalla P. brevicauda (Gibbs 1994, Frith and Beehler 1998)."
923,Paradisaea apoda,NA,Y,NA,NA,NA,NA
924,Paradisaea minor,NA,Y,NA,NA,NA,NA
925,Paradisaea rubra,NA,Y,Y,NA,PAPUA,"Paradisaea rubra is endemic to the West Papuan islands of Waigeo, Batanta, Gemien and Saonek off north-west Papua (formerly Irian Jaya), Indonesia, where it is common in suitable habitats."
926,Paraphalaenopsis denevei,NA,Y,NA,NA,NA,NA
927,Paraphalaenopsis labukensis,NA,Y,NA,NA,NA,NA
928,Paraphalaenopsis laycockii,NA,Y,NA,NA,NA,NA
929,Paraphalaenopsis serpentilingua,NA,Y,NA,NA,NA,NA
930,Pardofelis marmorata,NA,Y,NA,NA,NA,NA
931,Parotia berlepschi,NA,Y,Y,NA,PAPUA BARAT,https://www.iucnredlist.org/species/103728360/112748051
932,Parotia carolae,NA,Y,NA,NA,NA,NA
933,Parotia sefilata,NA,Y,Y,NA,PAPUA BARAT,https://www.iucnredlist.org/species/22706171/94054166
934,Pavo muticus,NA,Y,NA,NA,NA,NA
935,Pelagodroma marina,NA,Y,NA,Y,NA,NA
936,Pelargopsis melanorhyncha,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22683230/92979357
937,Pelecanus conspicillatus,NA,Y,NA,Y,NA,NA
938,Pelecanus onocrotalus,NA,Y,NA,NA,NA,NA
939,Pelecanus philippensis,NA,Y,NA,Y,NA,NA
940,Pellorneum capistratum,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/103869220/113205820
941,Peneothello cryptoleuca,NA,NA,Y,NA,PAPUA,https://www.iucnredlist.org/species/22704889/118832987
942,Peponocephala electra,NA,Y,NA,NA,NA,NA
943,Pericrocotus divaricatus,NA,NA,NA,Y,NA,NA
944,Pericrocotus lansbergei,NA,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22706747/94087360
945,Pericrocotus miniatus,NA,NA,Y,NA,SUMATERA & JAWA,https://www.iucnredlist.org/species/22706763/94088435
946,Pernis celebensis,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22727689/94957403
947,Pernis ptilorhynchus,NA,Y,NA,Y,NA,NA
948,Petrochelidon nigricans,NA,NA,NA,Y,NA,NA
949,Petroica archboldi,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22704799/93985859
950,Petroica bivittata,NA,Y,NA,NA,NA,NA
951,Phaethon lepturus,NA,Y,NA,Y,NA,NA
952,Phaethon rubricauda,NA,Y,NA,Y,NA,NA
953,Phalacrocorax carbo,NA,NA,NA,Y,NA,NA
954,Phalaenopsis bellina,NA,Y,NA,NA,NA,NA
955,Phalaenopsis celebensis,NA,Y,NA,NA,NA,NA
956,Phalaenopsis floresensis,NA,Y,NA,NA,NA,NA
957,Phalaenopsis gigantea,NA,Y,NA,NA,NA,NA
958,Phalaenopsis javanica,NA,Y,NA,NA,NA,NA
959,Phalaenopsis sumatrana,NA,Y,NA,NA,NA,NA
960,Phalanger alexandrae,NA,Y,NA,NA,NA,NA
961,Phalanger carmelitae,NA,Y,NA,NA,NA,NA
962,Phalanger gymnotis,NA,Y,NA,NA,NA,NA
963,Phalanger intercastellanus,NA,Y,NA,NA,NA,NA
964,Phalanger matabiru,NA,Y,NA,NA,NA,NA
965,Phalanger rothschildi,NA,Y,NA,NA,NA,NA
966,Phalanger sericeus,NA,Y,NA,NA,NA,NA
967,Phalanger vestitus,NA,Y,NA,NA,NA,NA
968,Phalaropus lobatus,NA,Y,NA,Y,NA,NA
969,Philemon brassi,NA,NA,Y,NA,PAPUA,https://www.iucnredlist.org/species/22704185/202823456
970,Philemon citreogularis,NA,NA,NA,Y,NA,NA
971,Philemon corniculatus,NA,NA,NA,Y,NA,NA
972,Philemon kisserensis,NA,NA,Y,NA,MALUKU (PULAU LETI & MOA),https://www.iucnredlist.org/species/22704180/112507178
973,Philemon moluccensis,NA,NA,Y,NA,MALUKU (PULAU BURU),https://www.iucnredlist.org/species/103686144/112507662
974,Philemon plumigenis,NA,NA,Y,NA,MALUKU (PULAU JAMDENA & PULAU KEI),https://www.iucnredlist.org/species/103686165/112507866
975,Philemon subcorniculatus,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22704200/130351479
976,Phonygammus keraudrenii,NA,Y,NA,NA,NA,NA
977,Phylloscopus borealis,NA,NA,NA,Y,NA,NA
978,Phylloscopus coronatus,NA,NA,NA,Y,NA,NA
979,Phylloscopus examinandus,NA,NA,NA,Y,NA,NA
980,Phylloscopus grammiceps,NA,NA,Y,NA,JAWA & BALI,https://www.iucnredlist.org/species/103845369/94453057
981,Phylloscopus maforensis,NA,NA,Y,NA,PAPUA (PULAU NUMFOOR),https://www.iucnredlist.org/species/103866023/208363875
982,Phylloscopus misoriensis,NA,NA,Y,NA,PAPUA (PULAU BIAK),https://www.iucnredlist.org/species/103866018/208161827
983,Phylloscopus sarasinorum,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/216917007/216948279
984,Phylloscopus xanthodryas,NA,NA,NA,Y,NA,NA
985,Physeter macrocephalus,NA,Y,NA,NA,NA,NA
986,Picoides temminckii,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22681042/92890426
987,Pigafetta filaris,NA,Y,NA,NA,NA,NA
988,Pinanga javana,NA,Y,NA,NA,NA,NA
989,Pitohui cerviniventris,NA,NA,Y,NA,PAPUA BARAT,https://www.iucnredlist.org/species/103691606/112512830
990,Pitta elegans,NA,Y,NA,NA,NA,NA
991,Pitta maxima,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/102998728/112308356
992,Pitta megarhyncha,NA,Y,NA,NA,NA,NA
993,Pitta moluccensis,NA,Y,NA,Y,NA,NA
994,Pitta morotaiensis,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/102998975/102999000
995,Pitta novaeguineae,NA,NA,NA,Y,NA,NA
996,Pitta nympha,NA,Y,NA,NA,NA,NA
997,Pitta rosenbergii,NA,Y,Y,Y,PAPUA (PULAU BIAK),https://www.iucnredlist.org/species/103656912/209612218
998,Pitta sordida,NA,Y,NA,Y,NA,NA
999,Pitta versicolor,NA,Y,NA,Y,NA,NA
1000,Platalea regia,NA,Y,NA,Y,NA,NA
1001,Platylophus galericulatus,NA,Y,NA,NA,NA,NA
1002,Platysmurus leucopterus,NA,Y,NA,NA,NA,NA
1003,Plegadis falcinellus,NA,Y,NA,Y,NA,NA
1004,Pluvialis fulva,NA,NA,NA,Y,NA,NA
1005,Pluvialis squatarola,NA,NA,NA,Y,NA,NA
1006,Podiceps cristatus,NA,Y,NA,NA,NA,NA
1007,Polyplectron chalcurum,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22679361/92812514
1008,Polyplectron schleiermacheri,NA,Y,NA,NA,NA,NA
1009,Pongo abelii,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/121097935/123797627
1010,Pongo pygmaeus,NA,Y,Y,NA,KALIMANTAN,https://www.iucnredlist.org/species/17975/123809220
1011,Pongo tapanuliensis,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/120588639/120588662
1012,Porzana paykullii,NA,Y,NA,NA,NA,NA
1013,Porzana tabuensis,NA,Y,NA,NA,NA,NA
1014,Presbytis comata,NA,Y,NA,NA,NA,NA
1015,Presbytis frontata,NA,Y,NA,NA,NA,NA
1016,Presbytis melalophos,NA,Y,NA,NA,NA,NA
1017,Presbytis natunae,NA,Y,NA,NA,NA,NA
1018,Presbytis potenziani,NA,Y,NA,NA,NA,NA
1019,Presbytis rubicunda,NA,Y,NA,NA,NA,NA
1020,Presbytis thomasi,NA,Y,NA,NA,NA,NA
